Language_ID,Feature_ID,IPA,Value,BORROWED
Kumzari,dog,sogʔ,185,?
Modern_Persian,dog,sag,185,?
Ormuri,dog,kuʧuk,186,?
Ossetic_Iron,dog,kuɨdz,186,?
Parachi,dog,espo,185,?
Shughni,dog,kud,186,?
Taleshi,dog,əspa,185,?
Wakhi,dog,suc,185,?
Waziri,dog,spai,185,?
Yaghnobi,dog,kut,186,?
Zazaki,dog,kutik,186,?
SEK,dog,sɛ,185,?
SK,dog,ṣɛ,185,?
NK,dog,kuʧɨk,186,?
SWK,dog,kuʧɨk,186,?
NWK,dog,sɔ,185,?
Zebaki,dog,ked,186,?
Ishkashimi,dog,kud,186,?
Pashto,dog,spaj,185,?
Bakhtiyari,drink,xarden,189,?
Balochi,drink,waragʔ,189,?
Gilaki,drink,xur,189,?
Judeo-Tati,drink,xurde,189,?
Kumzari,drink,xordiʔ,189,?
Modern_Persian,drink,nuʃidan,192,?
Ormuri,drink,xraxuluk,194,?
Ossetic_Iron,drink,nuazun,192,?
Parachi,drink,ʃup,195,?
Shughni,drink,berez,197,?
Taleshi,drink,ʔum,198,?
Wakhi,drink,pev,191,?
Waziri,drink,tʃel,196,?
Yaghnobi,drink,ʒav,191,?
Zazaki,drink,ʃimitiʃ,200,?
SEK,drink,xarɨnɛwɛ,189,?
SK,drink,vɛxwarɨn,189,?
NK,drink,vɛxwarɨn,189,?
SWK,drink,vɛxwarɨn,189,?
NWK,drink,vɛxɔrɨn,189,?
Ishkashimi,drink,pɜv,191,?
Pashto,drink,tskəl,196,?
Bakhtiyari,ear,guʔ,201,?
Balochi,ear,goʔ,201,?
Gilaki,ear,guʃ,201,?
Judeo-Tati,ear,quloq,202,1
Kumzari,ear,goʔ,201,?
Modern_Persian,ear,guʔ,201,?
Ormuri,ear,goi,201,?
Ossetic_Iron,ear,xʔus,201,?
Parachi,ear,gu,201,?
Shughni,ear,ʔug,203,?
Taleshi,ear,guʃ,201,?
Wakhi,ear,jis,201,?
Waziri,ear,gʔoʑ,201,?
Yaghnobi,ear,guʔ,201,?
Zazaki,ear,goʔ,201,?
SEK,ear,guh,201,?
SK,ear,guh,201,?
NK,ear,go,201,?
SWK,ear,guh,201,?
NWK,ear,guʧ,201,?
Zebaki,ear,gal,201,?
Ishkashimi,ear,gol,201,?
Pashto,ear,ghvaʒ,201,?
Bakhtiyari,eat,xarden,205,?
Balochi,eat,waragʔ,205,?
Gilaki,eat,xurdʔn,205,?
Judeo-Tati,eat,xurde,205,?
Kumzari,eat,xor,205,?
Modern_Persian,eat,xordan,205,?
Ormuri,eat,xraxuluk,206,?
Ossetic_Iron,eat,xærɨn,205,?
Parachi,eat,xar,205,?
Shughni,eat,xar,205,?
Taleshi,eat,xor,205,?
Wakhi,eat,jau,207,?
Waziri,eat,xwarel,205,?
Yaghnobi,eat,xwar,205,?
Zazaki,eat,werdiʔ,205,?
SEK,eat,xarɨn,205,?
SK,eat,xwarɨn,205,?
NK,eat,xwarɨn,205,?
SWK,eat,xarɨn,205,?
NWK,eat,xɔrɨn,205,?
Zebaki,eat,xar,205,?
Ishkashimi,eat,xar,205,?
Pashto,eat,ɣvarəl,205,?
Bakhtiyari,egg,haje,212,?
Balochi,egg,haix,212,?
Gilaki,egg,morɣanə,210,?
Judeo-Tati,egg,xoje,212,?
Kumzari,egg,xaig,212,?
Modern_Persian,egg,toxm,211,?
Ormuri,egg,supal,213,?
Ossetic_Iron,egg,aʔk,212,?
Parachi,egg,ex,212,?
Shughni,egg,tarmurx,211,1
Taleshi,egg,moɣnə,215,?
Wakhi,egg,tɨxmɨrg,211,1
Waziri,egg,jowja,208,?
Yaghnobi,egg,taxm,211,1
Zazaki,egg,hak,212,?
SEK,egg,helɨk,212,?
SK,egg,hek,212,?
NK,egg,hek,212,?
SWK,egg,hek,212,?
NWK,egg,hek,212,?
Ishkashimi,egg,akik,212,?
Pashto,egg,voja,208,?
Bakhtiyari,eye,tej,217,?
Balochi,eye,ʔham,219,?
Gilaki,eye,cʔm,219,?
Judeo-Tati,eye,ʔum,219,?
Kumzari,eye,ʔom,219,?
Modern_Persian,eye,ʧasm,219,?
Ormuri,eye,ʔimi,219,?
Ossetic_Iron,eye,kaest,221,?
Parachi,eye,dida,222,?
Shughni,eye,ʔaxm,219,?
Taleshi,eye,caʔm,219,?
Wakhi,eye,cezm,219,?
Waziri,eye,sterga,223,?
Yaghnobi,eye,gurda,223,?
Zazaki,eye,ʧim,219,?
SEK,eye,ʧaw,219,?
SK,eye,ʧaʕv,219,?
NK,eye,ʧɛʕv,219,?
SWK,eye,ʧav,219,?
NWK,eye,ʧɔv,219,?
Zebaki,eye,tsam,219,?
Ishkashimi,eye,tsam,219,?
Pashto,eye,stərga,223,?
Bakhtiyari,fall,ʋasten,228,?
Balochi,fall,xafagʔ,225,?
Gilaki,fall,kəft,225,?
Judeo-Tati,fall,ofdore,229,?
Kumzari,fall,keft,225,?
Modern_Persian,fall,oftadan,229,?
Ormuri,fall,juz,228,?
Ossetic_Iron,fall,xauɨn,225,?
Parachi,fall,ʧhar,231,?
Shughni,fall,raz,233,?
Taleshi,fall,laka,234,?
Wakhi,fall,wez,228,?
Waziri,fall,prewatel,236,?
Yaghnobi,fall,dewi,237,?
Zazaki,fall,kewtiʔ,225,?
SEK,fall,kɛtɨn,225,?
SK,fall,kɛtɨn,225,?
NK,fall,kɛtɨn,225,?
SWK,fall,kɛtɨn,225,?
NWK,fall,kɛtɨn,225,?
Zebaki,fall,idawi,237,?
Ishkashimi,fall,waz,228,?
Pashto,fall,lvedəl,232,?
Bakhtiyari,far,dir,238,?
Balochi,far,dir,238,?
Gilaki,far,dur,238,?
Judeo-Tati,far,dur,238,?
Kumzari,far,dur,238,?
Modern_Persian,far,dur,238,?
Ormuri,far,pets,239,1
Ossetic_Iron,far,dard,238,?
Parachi,far,durin,238,?
Shughni,far,dar,238,?
Taleshi,far,diəro,238,?
Wakhi,far,dir,238,?
Waziri,far,lire,238,?
Yaghnobi,far,dur,238,?
Zazaki,far,duri,238,?
SEK,far,dyr,238,?
SK,far,dur,238,?
NK,far,dur,238,?
SWK,far,dur,238,?
NWK,far,dur,238,?
Zebaki,far,dir,238,?
Ishkashimi,far,dir,238,?
Pashto,far,lire,238,?
Bakhtiyari,fire,taʃ,240,?
Balochi,fire,as,240,?
Gilaki,fire,atʔ,240,?
Judeo-Tati,fire,ʔatoʔ,240,?
Kumzari,fire,hatiʔ,240,?
Modern_Persian,fire,ataʔ,240,?
Ormuri,fire,run,244,?
Ossetic_Iron,fire,art,243,?
Parachi,fire,oʔ,240,?
Shughni,fire,alow,245,?
Taleshi,fire,otaʔ,240,?
Wakhi,fire,ruxunigʔ,246,?
Waziri,fire,jor,243,?
Yaghnobi,fire,olow,245,?
Zazaki,fire,adir,243,?
SEK,fire,agɨr,242,?
SK,fire,agɨr,242,?
NK,fire,agɨr,242,?
SWK,fire,ar,243,?
NWK,fire,ɔr,243,?
Zebaki,fire,roʃni,241,?
Ishkashimi,fire,roʃni,241,?
Pashto,fire,or,243,?
Bakhtiyari,fish,mai,247,?
Balochi,fish,mahi,247,1
Gilaki,fish,mahi,247,?
Judeo-Tati,fish,ʤaʃ,248,?
Kumzari,fish,mi,247,?
Modern_Persian,fish,mahi,247,?
Ormuri,fish,maʔi,247,1
Ossetic_Iron,fish,kæsag,249,?
Parachi,fish,maso,247,?
Shughni,fish,moji,247,1
Taleshi,fish,mohi,247,?
Wakhi,fish,moj,247,?
Yaghnobi,fish,mahi,247,1
Zazaki,fish,mase,247,?
SEK,fish,masi,247,?
SK,fish,masi,247,?
NK,fish,mɛʕsi,247,?
SWK,fish,masɨ,247,?
NWK,fish,mɔsi,247,?
Ishkashimi,fish,moi,247,?
Pashto,fish,mahaj,247,?
Bakhtiyari,fly,paʃxe,250,?
Balochi,fly,masesk,251,?
Gilaki,fly,məgəs,251,?
Judeo-Tati,fly,megez,251,?
Kumzari,fly,mes,251,?
Modern_Persian,fly,mags,251,?
Ormuri,fly,maʃɨ,251,?
Ossetic_Iron,fly,tæxɨn,254,?
Parachi,fly,rhoz,253,?
Shughni,fly,riwaz,253,?
Taleshi,fly,parʔst,252,?
Wakhi,fly,maks,251,?
Waziri,fly,wratel,256,?
Yaghnobi,fly,par,252,?
Zazaki,fly,perʔajiʔ,252,?
SEK,fly,meʃ,251,?
SK,fly,meʃ,251,?
NK,fly,meʃ,251,?
SWK,fly,meɹ,251,?
NWK,fly,mɛʃ,251,?
Ishkashimi,fly,paʃɛ,250,?
Pashto,fly,məʧ,251,?
Bakhtiyari,give,daden,258,?
Balochi,give,deagʔ,258,?
Gilaki,give,daan,258,?
Judeo-Tati,give,dore,258,?
Kumzari,give,do,258,?
Modern_Persian,give,dadan,258,?
Ormuri,give,baʃ,259,?
Ossetic_Iron,give,dættɨn,258,?
Shughni,give,dedow,258,?
Taleshi,give,da,258,?
Wakhi,give,rand,261,?
Waziri,give,derkrel,258,?
Yaghnobi,give,tifar,262,?
Zazaki,give,dajiʔ,258,?
SEK,give,dan,258,?
SK,give,dan,258,?
NK,give,dayin,258,?
SWK,give,dan,258,?
NWK,give,dɔyin,258,?
Zebaki,give,da,258,?
Ishkashimi,give,da,258,?
Pashto,give,darkawəl,258,?
Bakhtiyari,go,rahden,263,?
Balochi,go,rawag,264,?
Gilaki,go,ʃon,265,?
Judeo-Tati,go,rafde,263,?
Kumzari,go,raft,263,?
Modern_Persian,go,raftan,263,?
Ormuri,go,tsaw,265,?
Ossetic_Iron,go,tsæwɨn,265,?
Parachi,go,ʧim,267,?
Shughni,go,saw,265,?
Taleshi,go,ʃe,265,?
Wakhi,go,ʧaw,265,?
Yaghnobi,go,tir,270,?
Zazaki,go,ʃɨjajiʃ,271,?
SEK,go,ʧun,266,?
SK,go,ʧun,266,?
NK,go,ʧuyin,266,?
SWK,go,ʧun,266,?
NWK,go,ʧuyin,266,?
Ishkashimi,go,ʃu,265,?
Zebaki,go,ʃom,266,?
Pashto,go,tləl,268,?
Bakhtiyari,good,xoʋ,272,?
Balochi,good,ʃar,273,?
Gilaki,good,xob,272,?
Judeo-Tati,good,xub,272,?
Kumzari,good,xair,273,?
Modern_Persian,good,xub,272,?
Ormuri,good,ʃir,274,?
Ossetic_Iron,good,xorz,272,?
Parachi,good,kori,276,?
Shughni,good,baʃand,277,?
Taleshi,good,xuʔ,272,?
Wakhi,good,xub,272,?
Waziri,good,ʃe,278,?
Yaghnobi,good,obadon,279,?
Zazaki,good,weʃ,277,?
SEK,good,baʃ,277,?
SK,good,baʃ,277,?
NK,good,ɹɨnd,275,?
SWK,good,rɨnd,275,?
