DOCULECT;CONCEPT;IPA;VARIANTS
Taleshi;carry;bardə;
Yaghnobi;carry;var;xaʃ
Zazaki;carry;bəno;berdiʃ
SEK ;carry;keʃan;
SK;carry;kɨʃandɨn;hɨlgɨrtɨn
NK;carry;kɨʃandɨn;
SWK;carry;kɨʃandɨn;
NWK;carry;kɨʃandɨn;
Bakhtiyari;child;bacʔe;
Balochi;child;ʔux;
Gilaki;child;zahak;
Judeo-Tati;child;ʔail;
Kumzari;child;rok;ditk
Luri;child;bec;
Modern_Persian;child;baʔe;
Ormuri;child;woɣkaj;guru
Ossetic_Iron;child;sɨvælon;sabi
Parachi;child;baʔi;ɣurok
Shughni;child;baʔa;kudak
Taleshi;child;xʔrdan;
Wakhi;child;za;zeman
Waziri;child;workai;
Yaghnobi;child;pulla;baʔa
Zazaki;child;qeʔek;gede
SEK ;child;bɨʧyk;
SK;child;zaɹok;
NK;child;zaru;zar
SWK;child;zar;zark
NWK;child;del;
Bakhtiyari;come;oʔaʔden;ʔaʔden
Balochi;come;agʔ;axta
Gilaki;come;amon;
Judeo-Tati;come;veromore;
Kumzari;come;hamed;
Modern_Persian;come;amadan;
Ormuri;come;dzok;gidi
Ossetic_Iron;come;tsæuɨn;
Parachi;come;ʒe;
Shughni;come;jad;
Taleshi;come;ma;
Wakhi;come;wezi;
Waziri;come;rotlel;
Yaghnobi;come;vow;
Zazaki;come;aməj;
SEK ;come;hatɨn;
SK;come;hatɨn;
NK;come;hatɨn;
SWK;come;hatɨn;
NWK;come;hɔtɨn;
Bakhtiyari;crush/grind;telniden;
Balochi;crush/grind;droʃag;ɖalag
Gilaki;crush/grind;zir;dəkəlanen
Judeo-Tati;crush/grind;xjel;ʃiʃire
Kumzari;crush/grind;bumir;
Modern_Persian;crush/grind;ɣwurd;saʕidan
Ormuri;crush/grind;nɔʃra;
Ossetic_Iron;crush/grind;læmarɨn;sændɨn
Parachi;crush/grind;kut;
Shughni;crush/grind;jan;sew
Taleshi;crush/grind;hope;bərbod
Wakhi;crush/grind;ʂiɣ;
Yaghnobi;crush/grind;ʧuk;reza kyn
Zazaki;crush/grind;kwatiʃ;ploxnajiʃ
SEK ;crush/grind;pɛlʧɨqandɨn;
SK;crush/grind;pɨrʧɨqandɨn;
NK;crush/grind;pɛlʧɨqandɨn;
SWK;crush/grind;pɛlʧɨqandɨn;
NWK;crush/grind;penandɨn;
Bakhtiyari;cry/weep;gerejʋesten;
Balochi;cry/weep;grewag;anzar
Gilaki;cry/weep;gərjə;zar kudən
Judeo-Tati;cry/weep;girisde;hirke soxde
Kumzari;cry/weep;girja;
Modern_Persian;cry/weep;giristan;gerje kardan
Ormuri;cry/weep;ʃu;
Ossetic_Iron;cry/weep;kæwɨn;tjizɨn
Parachi;cry/weep;nara;ʃur
Shughni;cry/weep;naw;rinewd
Taleshi;cry/weep;bəme;
Yaghnobi;cry/weep;roj;wak
Zazaki;cry/weep;beɾmajiʃ;həɾsi kəɾdɨʃ
SEK ;cry/weep;gɨrɨjan;
SK;cry/weep;gɨri;
NK;cry/weep;gɨrin;
SWK;cry/weep;gɨri;
NWK;cry/weep;gɨrin;
Bakhtiyari;do;kerden;
Balochi;do;kanag;sazag
Gilaki;do;kudən;
Judeo-Tati;do;soxde;
Kumzari;do;kin;gis
Modern_Persian;do;kard;
Ormuri;do;kajek;
Ossetic_Iron;do;kænɨn;arazɨn
Parachi;do;kan;
Shughni;do;ʧidow;kin
Taleshi;do;karde;kə
Wakhi;do;car;goɣ
Yaghnobi;do;kun;
Zazaki;do;kəɾdɨʃ;
SEK ;do;kɨrɨn;ʧekɨrɨn
SK;do;kɨrɨn;çekɨrɨn
NK;do;kɨrɨn;ʧekɨrɨn
SWK;do;kɨrɨn;çekɨrɨn
NWK;do;kɨrɨn;çekɨrɨn
Bakhtiyari;dog;saʔ;
Balochi;dog;sag;
Gilaki;dog;seg;
Judeo-Tati;dog;seg;
Kumzari;dog;sogʔ;
Luri;dog;sag;
Modern_Persian;dog;sag;
Ormuri;dog;kuʔuk;spuk
Ossetic_Iron;dog;kuɨdz;
Parachi;dog;espo;kuʔuk
Shughni;dog;kud;
Taleshi;dog;ʔspa;
Wakhi;dog;suc;
Waziri;dog;spai;
Yaghnobi;dog;kut;
Zazaki;dog;kutik;
SEK ;dog;sɛ;
SK;dog;ṣɛ;
NK;dog;kuʧɨk;sɛ
SWK;dog;kuʧɨk;
NWK;dog;sɔ;kudɨk
Bakhtiyari;drink;xarden;
Balochi;drink;waragʔ;wartʔa
Gilaki;drink;xur;
Judeo-Tati;drink;xurde;
Kumzari;drink;xordiʔ;
Luri;drink;xarda;
Modern_Persian;drink;nuʔidan;
Ormuri;drink;xraxuluk;
Ossetic_Iron;drink;nuazun;
Parachi;drink;ʃup;
Shughni;drink;berez;qil ʔidow
Taleshi;drink;ʔum;
Wakhi;drink;pev;puw
Waziri;drink;tʔel;
Yaghnobi;drink;ʔav;
Zazaki;drink;ʔimitiʔ;
SEK ;drink;xarɨnɛwɛ;
SK;drink;vɛxwarɨn;
NK;drink;vɛxwarɨn;
SWK;drink;vɛxwarɨn;
NWK;drink;vɛxɔrɨn;
Bakhtiyari;ear;guʔ;
Balochi;ear;goʔ;
Gilaki;ear;guʃ;
Judeo-Tati;ear;quloq;
Kumzari;ear;goʔ;
Luri;ear;goʔ;
Modern_Persian;ear;guʔ;
Ormuri;ear;goi;
Ossetic_Iron;ear;xʔus;
Parachi;ear;gu;
Shughni;ear;ʔug;
Taleshi;ear;guʃ;
Wakhi;ear;jis;
Waziri;ear;gʔoʑ;
Yaghnobi;ear;guʔ;
Zazaki;ear;goʔ;
SEK ;ear;guh;
SK;ear;guh;
NK;ear;go;
SWK;ear;guh;
NWK;ear;guʧ;guʧɨk
Bakhtiyari;eat;xarden;
Balochi;eat;waragʔ;wartʔa
Gilaki;eat;xurdʔn;
Judeo-Tati;eat;xurde;
Kumzari;eat;xor;
Luri;eat;xarda;
Modern_Persian;eat;xordan;
Ormuri;eat;xraxuluk;
Ossetic_Iron;eat;xærɨn;
Parachi;eat;xar;xur
Shughni;eat;xar;
Taleshi;eat;xor;
Wakhi;eat;jau;
Waziri;eat;xwarel;
Yaghnobi;eat;xwar;
Zazaki;eat;werdiʔ;
SEK ;eat;xarɨn;
SK;eat;xwarɨn;
NK;eat;xwarɨn;
SWK;eat;xarɨn;
NWK;eat;xɔrɨn;
Bakhtiyari;egg;haje;
Balochi;egg;haix;anu
Gilaki;egg;morʔanʔ;
Judeo-Tati;egg;xoje;
Kumzari;egg;xaig;
Luri;egg;toxm;tox
Modern_Persian;egg;toxm;
Ormuri;egg;supal;
Ossetic_Iron;egg;aʔk;
Parachi;egg;ex;
Shughni;egg;tarmurx;
Taleshi;egg;moɣnə;
Wakhi;egg;tɨxmɨrg;
Waziri;egg;jowja;jija
Yaghnobi;egg;taxm;tuxm
Zazaki;egg;hak;
SEK ;egg;helɨk;hek
SK;egg;hek;
NK;egg;hek;
SWK;egg;hek;
NWK;egg;hek;
Bakhtiyari;eye;tej;
Balochi;eye;ʔham;
Gilaki;eye;cʔm;
Judeo-Tati;eye;ʔum;
Kumzari;eye;ʔom;
Luri;eye;caʔ;
Modern_Persian;eye;ʔasm;
Ormuri;eye;ʔimi;
Ossetic_Iron;eye;kaest;
Parachi;eye;dida;
Shughni;eye;ʔaxm;cem
Taleshi;eye;caʔm;
Wakhi;eye;cezm;
Waziri;eye;sterga;
Yaghnobi;eye;gurda;wenna
Zazaki;eye;ʔim;
SEK ;eye;ʧaw;
SK;eye;ʧaʕv;
NK;eye;ʧɛʕv;
SWK;eye;ʧav;
NWK;eye;ʧɔv;
Bakhtiyari;fall;ʔasten;
Balochi;fall;xafagʔ;xapta
Gilaki;fall;kʔft;
Judeo-Tati;fall;ofdore;
Kumzari;fall;keft;
Luri;fall;kata;
Modern_Persian;fall;oftadan;
Ormuri;fall;ʔuz;ʔwaz
Ossetic_Iron;fall;xauɨn;
Parachi;fall;ʧhar;
Shughni;fall;raz;waʃ
Taleshi;fall;laka;
Wakhi;fall;wez;pulun
Waziri;fall;prewatel;walwedel
Yaghnobi;fall;dewi;tiraʔ
Zazaki;fall;kewtiʔ;gunajiʔ
SEK ;fall;kɛtɨn;
SK;fall;kɛtɨn;
NK;fall;kɛtɨn;
SWK;fall;kɛtɨn;
NWK;fall;kɛtɨn;
Bakhtiyari;far;dir;
Balochi;far;dir;
Gilaki;far;dur;
Judeo-Tati;far;dur;
Kumzari;far;dur;
Luri;far;dyr;
Modern_Persian;far;dur;
Ormuri;far;pets;
Ossetic_Iron;far;dard;
Parachi;far;durin;
Shughni;far;dar;dur
Taleshi;far;diəro;
Wakhi;far;dir;
Waziri;far;lire;wurija
Yaghnobi;far;dur;olam
Zazaki;far;duri;
SEK ;far;dyr;
SK;far;dur;
NK;far;dur;
SWK;far;dur;
NWK;far;dur;
Bakhtiyari;fire;taʔ;
Balochi;fire;as;
Gilaki;fire;atʔ;
Judeo-Tati;fire;ʔatoʔ;
Kumzari;fire;hatiʔ;
Luri;fire;taʔ;
Modern_Persian;fire;ataʔ;
Ormuri;fire;run;
Ossetic_Iron;fire;art;caexaer
Parachi;fire;oʔ;
Shughni;fire;alow;yoc
Taleshi;fire;otaʔ;
Wakhi;fire;ruxunigʔ;
Waziri;fire;jor;
Yaghnobi;fire;olow;
Zazaki;fire;adir;
SEK ;fire;agɨr;
SK;fire;agɨr;
NK;fire;agɨr;
SWK;fire;ar;
NWK;fire;ɔr;
Bakhtiyari;fish;mai;
Balochi;fish;mahi;
Gilaki;fish;mahi;
Judeo-Tati;fish;ʔaʔ;
Kumzari;fish;mi;
Luri;fish;maʔi;
